,customer_id,time_duration,event_day_2020/10/27,event_day_2020/10/28,event_day_2020/10/29,event_day_2020/10/30,event_day_2020/10/31,event_day_2020/11/1,gender_woman,age_10's,age_20's,age_30's,age_40's,age_50's,age_60's,age_Over70's,area1_max_time_duration,area2_max_time_duration,area3_max_time_duration,area4_max_time_duration,area5_max_time_duration,buy_flag
189,20201026-030069,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
190,20201026-030071,13.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13.8,0.0,0.0,0.0,0.0,1
191,20201026-030073,13.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,8.0,0.0,0.0,1
192,20201026-030074,22.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15.2,0.0,0.0,0.0,0.0,1
193,20201026-030076,18.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6.4,0.0,0.0,0.0,0.0,1
194,20201026-030079,9.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,8.0,1
195,20201026-030089,20.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,12.4,0.0,0.0,1
196,20201026-030090,57.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,1
197,20201026-030091,55.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,39.4,1
198,20201026-030092,29.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,27.4,1
